"","DocId","Degree","Year","FundingMain","field_of_study","field_group","Highest","relative","RelationMain","occup_cat","occupation1"
"1","imh-11-103","進士",1911,"Private support","Education-Liberal Arts","Humanities-Social Sciences","Doctorate",NA,NA,NA,NA
"2","imh-11-211","進士",1911,"Government support","Civil-Railway Engineering-Economics-Liberal Arts","Engineering-Humanities-Social Sciences","Master",NA,NA,NA,NA
"3","imh-11-159","進士",1910,"Private support","Agriculture","Biological Sciences","Master",NA,NA,NA,NA
"4","imh-11-194","進士",1905,"Partial support","Political Science","Social Sciences","Doctorate",NA,NA,NA,NA
"5","imh-11-219","進士",1911,"Private support","Law-Philosophy","Humanities-Social Sciences","Bachelor",NA,NA,NA,NA
"6","imh-11-227","進士",1906,"Government support","Law","Social Sciences","Master","張錦","Father","Official","Official"
"7","imh-11-298","進士",1910,"Government support","Civil Engineering-Mathematics","Engineering-Physical Sciences","Doctorate",NA,NA,NA,NA
"8","imh-11-325","進士",1906,"Private support","Education","Social Sciences","Master","熊淸華","Father","Unknown",NA
"9","imh-11-363","進士",1907,"Private support","Education","Social Sciences","Master",NA,NA,NA,NA
"10","imh-11-372","進士",1911,"Private support","Railway Engineering","Engineering Sciences","Doctorate",NA,NA,NA,NA
"11","imh-11-82","進士",1909,"Unknown","Law-Political Science","Social Sciences","Master",NA,NA,NA,NA
"12","imh-11-195","進士",1911,"Government support","Civil Engineering","Engineering Sciences","Bachelor",NA,NA,NA,NA
"13","imh-11-366","進士",1911,"Government support","Metallurgy-Mining Engineering","Engineering Sciences","Master",NA,NA,NA,NA
"14","imh-11-370","進士",1910,"Government support","Civil Engineering","Engineering Sciences","Certificate",NA,NA,NA,NA
"15","imh-11-380","進士",1906,"Private support","Engineering","Engineering Sciences","Certificate",NA,NA,NA,NA
"16","imh-11-199","舉人",1908,"Private support","Agriculture-Economics-Law","Biological-Social Sciences","Doctorate",NA,NA,NA,NA
"17","imh-11-27","舉人",1907,"Government support","Commerce","Social Sciences","Master","朱珩","Father","Unknown",NA
"18","imh-11-305","舉人",1907,"Government support","Agriculture-Forestry","Biological Sciences","Master","鄒嘉來","Father","Unknown",NA
"19","imh-11-138","舉人",1910,"Government support","Law-Political Science","Social Sciences","Bachelor",NA,NA,NA,NA
"20","imh-11-148","舉人",1906,"Government support","Commerce","Social Sciences","Bachelor","祝芾","Father","Official","Official"
"21","imh-11-192","舉人",1906,"Private support","Medicine","Health Sciences","Doctorate",NA,NA,NA,NA
"22","imh-11-34","舉人",1910,"Private support","Law","Social Sciences","Bachelor","朱丙君","Father","Business","Entrepreneur"
"23","imh-11-53","舉人",1907,"Government support","Law","Social Sciences","Master",NA,NA,NA,NA
"24","imh-11-154","舉人",1907,"Government support","Business Administration","Social Sciences",NA,NA,NA,NA,NA
