"","DocId","n","instit"
"1","imh-11-94",1,"business"
"2","imh-11-239",2,"business-media"
"3","imh-11-210",2,"business-education"
"4","imh-11-290",1,"business"
"5","imh-11-265",1,"business"
"6","imh-11-77",2,"administration-business"
"7","imh-11-20",1,"industry"
"8","imh-11-207",1,"business"
"9","imh-11-293",2,"business-media"
"10","imh-11-330",1,"business"
"11","imh-11-75",1,"facility"
"12","imh-11-277",1,"railway"
"13","imh-11-364",1,"business"
"14","imh-11-390",2,"business-media"
"15","imh-11-234",1,"government"
"16","imh-11-268",1,"judiciary"
"17","imh-11-165",1,"event"
"18","imh-11-367",2,"event-media"
"19","imh-11-231",2,"business-education"
"20","imh-11-28",1,"business"
"21","imh-11-332",1,"business"
"22","imh-11-387",1,"business"
"23","imh-11-279",1,"business"
"24","imh-11-311",1,"business"
"25","imh-11-29",1,"media"
"26","imh-11-176",1,"media"
"27","imh-11-304",1,"media"
"28","imh-11-292",1,"media"
"29","imh-11-238",1,"media"
"30","imh-11-249",1,"media"
"31","imh-11-396",1,"business"
"32","imh-11-316",1,"business"
"33","imh-11-264",1,"business"
"34","imh-11-33",1,"business"
"35","imh-11-44",1,"railway"
"36","imh-11-237",2,"association-education"
"37","imh-11-221",1,"business"
"38","imh-11-250",1,"education"
"39","imh-11-376",1,"industry"
"40","imh-11-315",2,"business-facility"
"41","imh-11-345",1,"facility"
"42","imh-11-53",1,"education"
"43","imh-11-92",1,"education"
"44","imh-11-167",1,"education"
"45","imh-11-60",1,"education"
"46","imh-11-274",1,"facility"
"47","imh-11-9",3,"administration-government-railway"
"48","imh-11-392",2,"banking-business"
"49","imh-11-54",1,"business"
"50","imh-11-358",1,"business"
"51","imh-11-90",2,"business-media"
"52","imh-11-371",1,"business"
"53","imh-11-76",2,"education-government"
"54","imh-11-137",3,"business-media-railway"
"55","imh-11-226",1,"education"
"56","imh-11-23",2,"education-facility"
"57","imh-11-289",1,"administration"
"58","imh-11-74",1,"facility"
"59","imh-11-73",1,"business"
"60","imh-11-96",1,"business"
"61","imh-11-380",2,"business-industry"
"62","imh-11-173",1,"business"
"63","imh-11-225",1,"business"
"64","imh-11-360",2,"business-industry"
"65","imh-11-170",1,"business"
"66","imh-11-262",1,"business"
"67","imh-11-232",2,"business-industry"
"68","imh-11-300",1,"business"
"69","imh-11-339",1,"business"
"70","imh-11-169",2,"business-railway"
"71","imh-11-26",2,"business-facility"
"72","imh-11-163",1,"business"
"73","imh-11-153",1,"railway"
"74","imh-11-158",1,"other"
"75","imh-11-354",1,"administration"
"76","imh-11-143",1,"business"
"77","imh-11-100",1,"business"
"78","imh-11-398",1,"business"
"79","imh-11-38",1,"business"
"80","imh-11-21",2,"business-industry"
"81","imh-11-202",1,"business"
"82","imh-11-131",2,"education-military"
"83","imh-11-129",2,"education-facility"
"84","imh-11-110",1,"business"
"85","imh-11-270",1,"business"
"86","imh-11-17",1,"industry"
"87","imh-11-366",1,"event"
"88","imh-11-370",1,"event"
"89","imh-11-227",1,"government"
"90","imh-11-108",1,"government"
